trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,fees
AAPL-0025,AAPL,short,2014-07-01T00:00:00,2014-07-09T00:00:00,93.52000,95.39000,10.69290,0.50000
AAPL-0030,AAPL,long,2014-07-09T00:00:00,2014-07-16T00:00:00,95.39000,94.78000,10.48328,0.50000
AAPL-0035,AAPL,long,2014-07-16T00:00:00,2014-07-23T00:00:00,94.78000,97.19000,10.55075,0.50000
AAPL-0040,AAPL,long,2014-07-23T00:00:00,2014-07-30T00:00:00,97.19000,98.15000,10.28912,0.50000
AAPL-0045,AAPL,long,2014-07-30T00:00:00,2014-08-06T00:00:00,98.15000,94.96000,10.18849,0.50000
AAPL-0050,AAPL,long,2014-08-06T00:00:00,2014-08-13T00:00:00,94.96000,97.24000,10.53075,0.50000
AAPL-0055,AAPL,short,2014-08-13T00:00:00,2014-08-20T00:00:00,97.24000,100.57000,10.28383,0.50000
AAPL-0060,AAPL,long,2014-08-20T00:00:00,2014-08-27T00:00:00,100.57000,102.13000,9.94332,0.50000
AAPL-0065,AAPL,long,2014-08-27T00:00:00,2014-09-04T00:00:00,102.13000,98.12000,9.79144,0.50000
AAPL-0070,AAPL,long,2014-09-04T00:00:00,2014-09-11T00:00:00,98.12000,101.43000,10.19160,0.50000
AAPL-0075,AAPL,short,2014-09-11T00:00:00,2014-09-18T00:00:00,101.43000,101.79000,9.85902,0.50000
AAPL-0080,AAPL,long,2014-09-18T00:00:00,2014-09-25T00:00:00,101.79000,97.87000,9.82415,0.50000
AAPL-0085,AAPL,long,2014-09-25T00:00:00,2014-10-02T00:00:00,97.87000,99.90000,10.21763,0.50000
AAPL-0090,AAPL,short,2014-10-02T00:00:00,2014-10-09T00:00:00,99.90000,101.02000,10.01001,0.50000
AAPL-0095,AAPL,short,2014-10-09T00:00:00,2014-10-16T00:00:00,101.02000,96.26000,9.89903,0.50000
AAPL-0100,AAPL,short,2014-10-16T00:00:00,2014-10-23T00:00:00,96.26000,104.83000,10.38853,0.50000
AAPL-0105,AAPL,long,2014-10-23T00:00:00,2014-10-30T00:00:00,104.83000,106.98000,9.53925,0.50000
AAPL-0110,AAPL,long,2014-10-30T00:00:00,2014-11-06T00:00:00,106.98000,108.70000,9.34754,0.50000
AAPL-0115,AAPL,long,2014-11-06T00:00:00,2014-11-13T00:00:00,108.70000,112.82000,9.19963,0.50000
AAPL-0120,AAPL,long,2014-11-13T00:00:00,2014-11-20T00:00:00,112.82000,116.31000,8.86368,0.50000
AAPL-0125,AAPL,long,2014-11-20T00:00:00,2014-11-28T00:00:00,116.31000,118.93000,8.59771,0.50000
AAPL-0130,AAPL,long,2014-11-28T00:00:00,2014-12-05T00:00:00,118.93000,115.00000,8.40831,0.50000
AAPL-0135,AAPL,long,2014-12-05T00:00:00,2014-12-12T00:00:00,115.00000,109.73000,8.69565,0.50000
AAPL-0140,AAPL,short,2014-12-12T00:00:00,2014-12-19T00:00:00,109.73000,111.78000,9.11328,0.50000
AAPL-0145,AAPL,short,2014-12-19T00:00:00,2014-12-29T00:00:00,111.78000,113.91000,8.94614,0.50000
AAPL-0150,AAPL,short,2014-12-29T00:00:00,2015-01-06T00:00:00,113.91000,106.26000,8.77886,0.50000
AAPL-0155,AAPL,short,2015-01-06T00:00:00,2015-01-13T00:00:00,106.26000,110.22000,9.41088,0.50000
AAPL-0160,AAPL,short,2015-01-13T00:00:00,2015-01-21T00:00:00,110.22000,109.55000,9.07276,0.50000
AAPL-0165,AAPL,short,2015-01-21T00:00:00,2015-01-28T00:00:00,109.55000,115.31000,9.12825,0.50000
AAPL-0170,AAPL,long,2015-01-28T00:00:00,2015-02-04T00:00:00,115.31000,119.56000,8.67228,0.50000
AAPL-0175,AAPL,long,2015-02-04T00:00:00,2015-02-11T00:00:00,119.56000,124.88000,8.36400,0.50000
AAPL-0180,AAPL,long,2015-02-11T00:00:00,2015-02-19T00:00:00,124.88000,128.45000,8.00769,0.50000
AAPL-0185,AAPL,long,2015-02-19T00:00:00,2015-02-26T00:00:00,128.45000,130.42000,7.78513,0.50000
AAPL-0190,AAPL,long,2015-02-26T00:00:00,2015-03-05T00:00:00,130.42000,126.41000,7.66754,0.50000
AAPL-0195,AAPL,long,2015-03-05T00:00:00,2015-03-12T00:00:00,126.41000,124.45000,7.91077,0.50000
AAPL-0200,AAPL,short,2015-03-12T00:00:00,2015-03-19T00:00:00,124.45000,127.50000,8.03536,0.50000
AAPL-0205,AAPL,short,2015-03-19T00:00:00,2015-03-26T00:00:00,127.50000,124.24000,7.84314,0.50000
AAPL-0210,AAPL,short,2015-03-26T00:00:00,2015-04-02T00:00:00,124.24000,125.32000,8.04894,0.50000
AAPL-0215,AAPL,short,2015-04-02T00:00:00,2015-04-10T00:00:00,125.32000,127.10000,7.97957,0.50000
AAPL-0220,AAPL,long,2015-04-10T00:00:00,2015-04-17T00:00:00,127.10000,124.75000,7.86782,0.50000
AAPL-0225,AAPL,long,2015-04-17T00:00:00,2015-04-24T00:00:00,124.75000,130.28000,8.01603,0.50000
AAPL-0230,AAPL,long,2015-04-24T00:00:00,2015-05-01T00:00:00,130.28000,128.95000,7.67577,0.50000
AAPL-0235,AAPL,long,2015-05-01T00:00:00,2015-05-08T00:00:00,128.95000,127.62000,7.75494,0.50000
AAPL-0240,AAPL,short,2015-05-08T00:00:00,2015-05-15T00:00:00,127.62000,128.77000,7.83576,0.50000
AAPL-0245,AAPL,short,2015-05-15T00:00:00,2015-05-22T00:00:00,128.77000,132.54000,7.76578,0.50000
AAPL-0250,AAPL,long,2015-05-22T00:00:00,2015-06-01T00:00:00,132.54000,130.54000,7.54489,0.50000
AAPL-0255,AAPL,long,2015-06-01T00:00:00,2015-06-08T00:00:00,130.54000,127.80000,7.66049,0.50000
AAPL-0260,AAPL,long,2015-06-08T00:00:00,2015-06-15T00:00:00,127.80000,126.92000,7.82473,0.50000
AAPL-0265,AAPL,short,2015-06-15T00:00:00,2015-06-22T00:00:00,126.92000,127.61000,7.87898,0.50000
AAPL-0270,AAPL,short,2015-06-22T00:00:00,2015-06-29T00:00:00,127.61000,124.53000,7.83638,0.50000
AAPL-0275,AAPL,short,2015-06-29T00:00:00,2015-07-07T00:00:00,124.53000,125.69000,8.03019,0.50000
AAPL-0280,AAPL,short,2015-07-07T00:00:00,2015-07-14T00:00:00,125.69000,125.61000,7.95608,0.50000
AAPL-0285,AAPL,short,2015-07-14T00:00:00,2015-07-21T00:00:00,125.61000,130.75000,7.96115,0.50000
AAPL-0290,AAPL,long,2015-07-21T00:00:00,2015-07-28T00:00:00,130.75000,123.38000,7.64818,0.50000
AAPL-0295,AAPL,long,2015-07-28T00:00:00,2015-08-04T00:00:00,123.38000,114.64000,8.10504,0.50000
AAPL-0300,AAPL,short,2015-08-04T00:00:00,2015-08-11T00:00:00,114.64000,113.49000,8.72296,0.50000
AAPL-0305,AAPL,short,2015-08-11T00:00:00,2015-08-18T00:00:00,113.49000,116.50000,8.81135,0.50000
AAPL-0310,AAPL,short,2015-08-18T00:00:00,2015-08-25T00:00:00,116.50000,103.74000,8.58369,0.50000
AAPL-0315,AAPL,short,2015-08-25T00:00:00,2015-09-01T00:00:00,103.74000,107.72000,9.63948,0.50000
AAPL-0320,AAPL,short,2015-09-01T00:00:00,2015-09-09T00:00:00,107.72000,110.15000,9.28333,0.50000
AAPL-0325,AAPL,short,2015-09-09T00:00:00,2015-09-16T00:00:00,110.15000,116.41000,9.07853,0.50000
AAPL-0330,AAPL,long,2015-09-16T00:00:00,2015-09-23T00:00:00,116.41000,114.32000,8.59033,0.50000
AAPL-0335,AAPL,long,2015-09-23T00:00:00,2015-09-30T00:00:00,114.32000,110.30000,8.74738,0.50000
AAPL-0340,AAPL,long,2015-09-30T00:00:00,2015-10-07T00:00:00,110.30000,110.78000,9.06618,0.50000
AAPL-0345,AAPL,short,2015-10-07T00:00:00,2015-10-14T00:00:00,110.78000,110.21000,9.02690,0.50000
AAPL-0350,AAPL,short,2015-10-14T00:00:00,2015-10-21T00:00:00,110.21000,113.76000,9.07359,0.50000
AAPL-0355,AAPL,long,2015-10-21T00:00:00,2015-10-28T00:00:00,113.76000,119.27000,8.79044,0.50000
AAPL-0360,AAPL,long,2015-10-28T00:00:00,2015-11-04T00:00:00,119.27000,122.00000,8.38434,0.50000
AAPL-0365,AAPL,long,2015-11-04T00:00:00,2015-11-11T00:00:00,122.00000,116.11000,8.19672,0.50000
AAPL-0370,AAPL,long,2015-11-11T00:00:00,2015-11-18T00:00:00,116.11000,117.29000,8.61252,0.50000
AAPL-0375,AAPL,short,2015-11-18T00:00:00,2015-11-25T00:00:00,117.29000,118.03000,8.52588,0.50000
AAPL-0380,AAPL,short,2015-11-25T00:00:00,2015-12-03T00:00:00,118.03000,115.20000,8.47242,0.50000
AAPL-0385,AAPL,short,2015-12-03T00:00:00,2015-12-10T00:00:00,115.20000,116.17000,8.68056,0.50000
AAPL-0390,AAPL,long,2015-12-10T00:00:00,2015-12-17T00:00:00,116.17000,108.98000,8.60807,0.50000
AAPL-0395,AAPL,short,2015-12-17T00:00:00,2015-12-24T00:00:00,108.98000,108.03000,9.17600,0.50000
AAPL-0400,AAPL,short,2015-12-24T00:00:00,2016-01-04T00:00:00,108.03000,105.35000,9.25669,0.50000
AAPL-0405,AAPL,short,2016-01-04T00:00:00,2016-01-11T00:00:00,105.35000,98.53000,9.49217,0.50000
AAPL-0410,AAPL,short,2016-01-11T00:00:00,2016-01-19T00:00:00,98.53000,96.66000,10.14919,0.50000
AAPL-0415,AAPL,short,2016-01-19T00:00:00,2016-01-26T00:00:00,96.66000,99.99000,10.34554,0.50000
AAPL-0420,AAPL,short,2016-01-26T00:00:00,2016-02-02T00:00:00,99.99000,94.48000,10.00100,0.50000
AAPL-0425,AAPL,short,2016-02-02T00:00:00,2016-02-09T00:00:00,94.48000,94.99000,10.58425,0.50000
AAPL-0430,AAPL,short,2016-02-09T00:00:00,2016-02-17T00:00:00,94.99000,98.12000,10.52742,0.50000
AAPL-0435,AAPL,short,2016-02-17T00:00:00,2016-02-24T00:00:00,98.12000,96.10000,10.19160,0.50000
AAPL-0440,AAPL,long,2016-02-24T00:00:00,2016-03-02T00:00:00,96.10000,100.75000,10.40583,0.50000
AAPL-0445,AAPL,long,2016-03-02T00:00:00,2016-03-09T00:00:00,100.75000,101.12000,9.92556,0.50000
AAPL-0450,AAPL,long,2016-03-09T00:00:00,2016-03-16T00:00:00,101.12000,105.97000,9.88924,0.50000
AAPL-0455,AAPL,long,2016-03-16T00:00:00,2016-03-23T00:00:00,105.97000,106.13000,9.43663,0.50000
AAPL-0460,AAPL,long,2016-03-23T00:00:00,2016-03-31T00:00:00,106.13000,108.99000,9.42241,0.50000
AAPL-0465,AAPL,long,2016-03-31T00:00:00,2016-04-07T00:00:00,108.99000,108.54000,9.17515,0.50000
AAPL-0470,AAPL,long,2016-04-07T00:00:00,2016-04-14T00:00:00,108.54000,112.10000,9.21319,0.50000
AAPL-0475,AAPL,long,2016-04-14T00:00:00,2016-04-21T00:00:00,112.10000,105.97000,8.92061,0.50000
AAPL-0480,AAPL,long,2016-04-21T00:00:00,2016-04-28T00:00:00,105.97000,94.83000,9.43663,0.50000
AAPL-0485,AAPL,short,2016-04-28T00:00:00,2016-05-05T00:00:00,94.83000,93.24000,10.54519,0.50000
AAPL-0490,AAPL,short,2016-05-05T00:00:00,2016-05-12T00:00:00,93.24000,90.34000,10.72501,0.50000
AAPL-0495,AAPL,short,2016-05-12T00:00:00,2016-05-19T00:00:00,90.34000,94.20000,11.06929,0.50000
AAPL-0500,AAPL,short,2016-05-19T00:00:00,2016-05-26T00:00:00,94.20000,100.41000,10.61571,0.50000
AAPL-0505,AAPL,long,2016-05-26T00:00:00,2016-06-03T00:00:00,100.41000,97.92000,9.95917,0.50000
AAPL-0510,AAPL,long,2016-06-03T00:00:00,2016-06-10T00:00:00,97.92000,98.83000,10.21242,0.50000
AAPL-0515,AAPL,long,2016-06-10T00:00:00,2016-06-17T00:00:00,98.83000,95.33000,10.11838,0.50000
AAPL-0520,AAPL,short,2016-06-17T00:00:00,2016-06-24T00:00:00,95.33000,93.40000,10.48988,0.50000
AAPL-0525,AAPL,short,2016-06-24T00:00:00,2016-07-01T00:00:00,93.40000,95.89000,10.70664,0.50000
