trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,fees
T-0001,BTCUSDT,short,2025-01-04T00:00:00,2025-01-07T00:00:00,64240.3549,66864.4018,0.0157,0.6124
T-0002,MSFT,long,2025-01-06T00:00:00,2025-01-12T00:00:00,418.2614,407.5864,2.5273,0.356
T-0003,MSFT,long,2025-01-07T00:00:00,2025-01-09T00:00:00,415.7668,403.4567,1.4694,0.4734
T-0004,AAPL,short,2025-01-10T00:00:00,2025-01-16T00:00:00,191.1595,200.4,3.4176,0.7824
T-0005,AAPL,short,2025-01-11T00:00:00,2025-01-15T00:00:00,201.1833,203.5818,8.3006,1.5044
T-0006,NVDA,long,2025-01-14T00:00:00,2025-01-16T00:00:00,762.7336,777.5974,0.6064,0.3678
T-0007,BTCUSDT,long,2025-01-15T00:00:00,2025-01-18T00:00:00,64384.1893,64173.8172,0.0113,0.4301
T-0008,MSFT,long,2025-01-17T00:00:00,2025-01-21T00:00:00,422.9654,426.0748,1.9124,0.9021
T-0009,ETHUSDT,long,2025-01-19T00:00:00,2025-01-25T00:00:00,3237.8872,3325.1897,0.3355,0.757
T-0010,BTCUSDT,long,2025-01-22T00:00:00,2025-01-27T00:00:00,64033.0221,66095.4678,0.0191,0.4083
T-0011,AAPL,long,2025-01-23T00:00:00,2025-01-30T00:00:00,176.6489,176.9102,6.1739,0.6166
T-0012,NVDA,long,2025-01-26T00:00:00,2025-02-02T00:00:00,861.1518,889.3794,0.6012,0.25
T-0013,MSFT,short,2025-01-27T00:00:00,2025-02-02T00:00:00,449.0195,446.7624,1.6506,0.2979
T-0014,MSFT,long,2025-01-29T00:00:00,2025-02-03T00:00:00,394.2311,388.151,4.0104,0.3441
T-0015,MSFT,long,2025-02-01T00:00:00,2025-02-04T00:00:00,434.5123,430.1338,2.9749,0.8444
T-0016,MSFT,long,2025-02-02T00:00:00,2025-02-05T00:00:00,414.4808,402.2238,3.1577,1.0923
T-0017,AAPL,long,2025-02-05T00:00:00,2025-02-06T00:00:00,189.5339,186.3992,7.0609,0.7271
T-0018,BTCUSDT,short,2025-02-07T00:00:00,2025-02-10T00:00:00,62262.4639,62566.0785,0.0236,0.9108
T-0019,NVDA,long,2025-02-08T00:00:00,2025-02-15T00:00:00,838.6285,855.9704,0.574,0.558
T-0020,AAPL,short,2025-02-10T00:00:00,2025-02-13T00:00:00,199.8803,191.7138,4.569,0.8694
T-0021,AAPL,short,2025-02-12T00:00:00,2025-02-13T00:00:00,194.4282,199.7571,5.9422,0.8559
T-0022,ETHUSDT,long,2025-02-15T00:00:00,2025-02-20T00:00:00,3421.7359,3461.5724,0.2554,0.4234
T-0023,BTCUSDT,short,2025-02-17T00:00:00,2025-02-24T00:00:00,68061.2709,69415.1434,0.0232,1.7357
T-0024,NVDA,long,2025-02-18T00:00:00,2025-02-25T00:00:00,864.9289,876.5565,1.2436,0.468
T-0025,MSFT,long,2025-02-20T00:00:00,2025-02-22T00:00:00,449.2981,449.3503,3.2853,0.7754
T-0026,MSFT,long,2025-02-22T00:00:00,2025-02-26T00:00:00,427.3751,411.4426,3.727,1.7665
T-0027,AAPL,short,2025-02-24T00:00:00,2025-02-28T00:00:00,196.2927,191.695,5.638,0.8074
T-0028,NVDA,long,2025-02-27T00:00:00,2025-03-01T00:00:00,839.9166,831.257,1.9923,1.5768
T-0029,AAPL,long,2025-03-01T00:00:00,2025-03-03T00:00:00,190.5057,188.8396,6.4144,0.9663
T-0030,AAPL,long,2025-03-02T00:00:00,2025-03-04T00:00:00,184.6996,180.9069,8.6107,1.3573
T-0031,AAPL,long,2025-03-05T00:00:00,2025-03-12T00:00:00,197.5208,195.2702,4.4392,0.4379
T-0032,ETHUSDT,short,2025-03-06T00:00:00,2025-03-12T00:00:00,3049.1771,3011.3259,0.3602,0.4848
T-0033,BTCUSDT,long,2025-03-08T00:00:00,2025-03-14T00:00:00,67034.1109,66956.125,0.0171,0.5977
T-0034,AAPL,long,2025-03-11T00:00:00,2025-03-17T00:00:00,188.5511,190.48,2.9009,0.25
T-0035,NVDA,long,2025-03-13T00:00:00,2025-03-20T00:00:00,889.8224,899.5769,1.0766,1.0292
T-0036,BTCUSDT,short,2025-03-15T00:00:00,2025-03-16T00:00:00,66952.2594,64806.1344,0.0252,0.8139
T-0037,NVDA,long,2025-03-16T00:00:00,2025-03-23T00:00:00,911.902,907.7608,1.4071,0.9771
T-0038,NVDA,long,2025-03-18T00:00:00,2025-03-19T00:00:00,874.8463,849.0464,0.7413,0.6433
T-0039,ETHUSDT,long,2025-03-20T00:00:00,2025-03-24T00:00:00,2998.7788,3078.1832,0.2916,0.8603
T-0040,MSFT,short,2025-03-22T00:00:00,2025-03-27T00:00:00,418.8752,420.6733,1.5953,0.4266
T-0041,BTCUSDT,short,2025-03-25T00:00:00,2025-03-28T00:00:00,61952.7813,60247.7767,0.007,0.294
T-0042,MSFT,short,2025-03-27T00:00:00,2025-03-29T00:00:00,411.2929,406.5901,4.1295,2.0291
T-0043,MSFT,long,2025-03-28T00:00:00,2025-03-30T00:00:00,445.3886,445.4398,2.307,0.8986
T-0044,ETHUSDT,short,2025-03-31T00:00:00,2025-04-06T00:00:00,3281.6043,3246.5795,0.2531,0.8427
T-0045,BTCUSDT,short,2025-04-01T00:00:00,2025-04-04T00:00:00,63182.7809,60281.2838,0.0196,1.3648
T-0046,NVDA,short,2025-04-04T00:00:00,2025-04-07T00:00:00,815.5336,775.8224,0.503,0.4051
T-0047,AAPL,long,2025-04-05T00:00:00,2025-04-12T00:00:00,190.2491,191.1103,4.1484,0.304
T-0048,NVDA,long,2025-04-07T00:00:00,2025-04-09T00:00:00,808.637,813.9127,1.7118,1.055
T-0049,MSFT,long,2025-04-10T00:00:00,2025-04-17T00:00:00,408.7248,419.6285,3.1495,0.3886
T-0050,MSFT,short,2025-04-11T00:00:00,2025-04-18T00:00:00,425.2418,431.8775,4.173,1.5135
T-0051,MSFT,long,2025-04-13T00:00:00,2025-04-18T00:00:00,439.4092,443.9473,2.8868,1.4656
T-0052,BTCUSDT,long,2025-04-15T00:00:00,2025-04-17T00:00:00,66582.7798,66744.6437,0.016,0.7616
T-0053,ETHUSDT,long,2025-04-17T00:00:00,2025-04-19T00:00:00,2906.7149,2935.5088,0.5044,0.9279
T-0054,AAPL,long,2025-04-19T00:00:00,2025-04-21T00:00:00,192.3132,189.3642,8.656,0.3926
T-0055,AAPL,long,2025-04-21T00:00:00,2025-04-26T00:00:00,190.5475,184.4556,7.3943,1.6341
T-0056,BTCUSDT,short,2025-04-24T00:00:00,2025-04-26T00:00:00,66076.1147,68891.3296,0.0265,0.5298
