month,start_equity,end_equity,monthly_return_pct
2014-07,9979.5043,10006.9143,0.0027
2014-08,9973.9131,9977.6896,0.0004
2014-09,9937.9259,9928.1002,-0.0010
2014-10,9948.3420,9913.7298,-0.0035
2014-11,9929.3076,10019.1703,0.0091
2014-12,9985.6257,9900.5621,-0.0085
2015-01,9967.2204,9881.9533,-0.0086
2015-02,9918.3105,10005.2311,0.0088
2015-03,9973.9843,9958.0400,-0.0016
2015-04,9948.8471,9958.9828,0.0010
2015-05,9948.2740,9898.1718,-0.0050
2015-06,9882.5820,9871.4061,-0.0011
2015-07,9861.5911,9763.4401,-0.0100
2015-08,9692.1021,9783.6392,0.0094
2015-09,9744.7741,9610.2657,-0.0138
2015-10,9614.1175,9633.9869,0.0021
2015-11,9656.3762,9610.4511,-0.0048
2015-12,9633.9281,9570.8331,-0.0065
2016-01,9595.1410,9642.9060,0.0050
2016-02,9697.5115,9678.2497,-0.0020
2016-03,9726.1368,9804.2300,0.0080
2016-04,9799.6012,9671.0928,-0.0131
2016-05,9687.3596,9608.3112,-0.0082
2016-06,9583.0128,9575.6373,-0.0008
2016-07,9548.4777,9481.2806,-0.0070
2016-08,9570.2608,9575.9453,0.0006
2016-09,9583.6835,9523.5746,-0.0063
2016-10,9522.2788,9566.6825,0.0047
2016-11,9509.0155,9514.1009,0.0005
2016-12,9518.2154,9567.5978,0.0052
2017-01,9577.2066,9606.9347,0.0031
2017-02,9677.6343,9726.8646,0.0051
2017-03,9744.8331,9773.9680,0.0030
2017-04,9780.2135,9728.9913,-0.0052
2017-05,9704.9668,9746.5524,0.0043
2017-06,9745.0090,9689.8917,-0.0057
2017-07,9685.9117,9653.8326,-0.0033
2017-08,9699.4195,9720.0004,0.0021
2017-09,9745.7108,9762.3190,0.0017
2017-10,9740.1650,9743.3926,0.0003
2017-11,9788.0581,9780.1949,-0.0008
2017-12,9759.8763,9707.1188,-0.0054
2018-01,9720.8627,9685.5572,-0.0036
