exit_date,net_pnl,equity,daily_return,peak_equity,drawdown,drawdown_pct
2025-01-07,-41.8099,9958.1901,-0.0042,9958.1901,0.0000,0.0000
2025-01-09,-18.5619,9939.6282,-0.0019,9958.1901,-18.5619,-0.0019
2025-01-12,-27.3349,9912.2933,-0.0028,9958.1901,-45.8968,-0.0046
2025-01-15,-21.4134,9890.8799,-0.0022,9958.1901,-67.3102,-0.0068
2025-01-16,-23.7171,9867.1628,-0.0024,9958.1901,-91.0273,-0.0091
2025-01-18,-2.8073,9864.3555,-0.0003,9958.1901,-93.8346,-0.0094
2025-01-21,5.0443,9869.3998,0.0005,9958.1901,-88.7903,-0.0089
2025-01-25,28.5330,9897.9328,0.0029,9958.1901,-60.2573,-0.0061
2025-01-27,38.9844,9936.9172,0.0039,9958.1901,-21.2729,-0.0021
2025-01-30,0.9966,9937.9138,0.0001,9958.1901,-20.2762,-0.0020
2025-02-02,20.1481,9958.0619,0.0020,9958.1901,-0.1281,-0.0000
2025-02-03,-24.7277,9933.3342,-0.0025,9958.1901,-24.8559,-0.0025
2025-02-04,-13.8700,9919.4642,-0.0014,9958.1901,-38.7259,-0.0039
2025-02-05,-39.7962,9879.6680,-0.0040,9958.1901,-78.5221,-0.0079
2025-02-06,-22.8609,9856.8071,-0.0023,9958.1901,-101.3830,-0.0102
2025-02-10,-8.0761,9848.7309,-0.0008,9958.1901,-109.4591,-0.0110
2025-02-13,3.9220,9852.6530,0.0004,9958.1901,-105.5371,-0.0106
2025-02-15,9.3963,9862.0492,0.0010,9958.1901,-96.1408,-0.0097
2025-02-20,9.7508,9871.8001,0.0010,9958.1901,-86.3900,-0.0087
2025-02-22,-0.6039,9871.1962,-0.0001,9958.1901,-86.9939,-0.0087
2025-02-24,-33.1455,9838.0506,-0.0034,9958.1901,-120.1394,-0.0121
2025-02-25,13.9921,9852.0427,0.0014,9958.1901,-106.1473,-0.0107
2025-02-26,-61.1469,9790.8958,-0.0062,9958.1901,-167.2943,-0.0168
2025-02-28,25.1144,9816.0102,0.0026,9958.1901,-142.1798,-0.0143
2025-03-01,-18.8293,9797.1809,-0.0019,9958.1901,-161.0092,-0.0162
2025-03-03,-11.6533,9785.5276,-0.0012,9958.1901,-172.6625,-0.0173
2025-03-04,-34.0151,9751.5125,-0.0035,9958.1901,-206.6776,-0.0208
2025-03-12,2.7204,9754.2329,0.0003,9958.1901,-203.9572,-0.0205
2025-03-14,-1.9313,9752.3017,-0.0002,9958.1901,-205.8884,-0.0207
2025-03-16,53.2684,9805.5701,0.0055,9958.1901,-152.6200,-0.0153
2025-03-17,5.3455,9810.9156,0.0005,9958.1901,-147.2744,-0.0148
2025-03-19,-19.7688,9791.1469,-0.0020,9958.1901,-167.0432,-0.0168
2025-03-20,9.4725,9800.6194,0.0010,9958.1901,-157.5707,-0.0158
2025-03-23,-6.8042,9793.8152,-0.0007,9958.1901,-164.3749,-0.0165
2025-03-24,22.2940,9816.1092,0.0023,9958.1901,-142.0808,-0.0143
2025-03-27,-3.2951,9812.8141,-0.0003,9958.1901,-145.3760,-0.0146
2025-03-28,11.6410,9824.4551,0.0012,9958.1901,-133.7349,-0.0134
2025-03-29,17.3911,9841.8463,0.0018,9958.1901,-116.3438,-0.0117
2025-03-30,-0.7805,9841.0658,-0.0001,9958.1901,-117.1243,-0.0118
2025-04-04,55.5045,9896.5703,0.0056,9958.1901,-61.6197,-0.0062
2025-04-06,8.0221,9904.5924,0.0008,9958.1901,-53.5977,-0.0054
2025-04-07,19.5696,9924.1620,0.0020,9958.1901,-34.0280,-0.0034
2025-04-09,7.9759,9932.1380,0.0008,9958.1901,-26.0521,-0.0026
2025-04-12,3.2686,9935.4066,0.0003,9958.1901,-22.7835,-0.0023
2025-04-17,35.7808,9971.1874,0.0036,9971.1874,0.0000,0.0000
2025-04-18,-17.5693,9953.6181,-0.0018,9971.1874,-17.5693,-0.0018
2025-04-19,13.5957,9967.2139,0.0014,9971.1874,-3.9735,-0.0004
2025-04-21,-25.9191,9941.2947,-0.0026,9971.1874,-29.8927,-0.0030
2025-04-26,-121.8124,9819.4823,-0.0123,9971.1874,-151.7051,-0.0152
2025-04-28,-12.1794,9807.3029,-0.0012,9971.1874,-163.8845,-0.0164
2025-04-30,-32.6224,9774.6805,-0.0033,9971.1874,-196.5069,-0.0197
2025-05-03,61.9095,9836.5900,0.0063,9971.1874,-134.5974,-0.0135
2025-05-07,-21.9352,9814.6547,-0.0022,9971.1874,-156.5327,-0.0157
2025-05-09,27.0454,9841.7002,0.0028,9971.1874,-129.4872,-0.0130
2025-05-10,13.6819,9855.3821,0.0014,9971.1874,-115.8053,-0.0116
2025-05-12,-11.0163,9844.3658,-0.0011,9971.1874,-126.8216,-0.0127
2025-05-14,5.4370,9849.8028,0.0006,9971.1874,-121.3846,-0.0122
2025-05-17,-6.8299,9842.9729,-0.0007,9971.1874,-128.2145,-0.0129
2025-05-20,22.4417,9865.4146,0.0023,9971.1874,-105.7728,-0.0106
2025-05-23,15.8811,9881.2956,0.0016,9971.1874,-89.8918,-0.0090
2025-05-27,-13.0260,9868.2696,-0.0013,9971.1874,-102.9178,-0.0103
2025-05-29,90.2454,9958.5150,0.0091,9971.1874,-12.6724,-0.0013
2025-06-01,59.6393,10018.1543,0.0060,10018.1543,0.0000,0.0000
2025-06-03,8.2456,10026.3999,0.0008,10026.3999,0.0000,0.0000
2025-06-06,26.6579,10053.0577,0.0027,10053.0577,0.0000,0.0000
2025-06-07,5.0191,10058.0769,0.0005,10058.0769,0.0000,0.0000
2025-06-11,1.0360,10059.1129,0.0001,10059.1129,0.0000,0.0000
2025-06-14,-9.6043,10049.5085,-0.0010,10059.1129,-9.6043,-0.0010
2025-06-15,29.1176,10078.6262,0.0029,10078.6262,0.0000,0.0000
2025-06-16,13.5267,10092.1528,0.0013,10092.1528,0.0000,0.0000
2025-06-17,-25.5458,10066.6070,-0.0025,10092.1528,-25.5458,-0.0025
