trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,fees,gross_pnl,net_pnl,return_pct,exit_date,cumulative_pnl,equity,peak_equity,drawdown,drawdown_pct
AAPL-0025,AAPL,short,2014-07-01T00:00:00,2014-07-09T00:00:00,93.5200,95.3900,10.6929,0.5000,-19.9957,-20.4957,-0.0020,2014-07-09,-20.4957,9979.5043,9979.5043,0.0000,0.0000
AAPL-0030,AAPL,long,2014-07-09T00:00:00,2014-07-16T00:00:00,95.3900,94.7800,10.4833,0.5000,-6.3948,-6.8948,-0.0007,2014-07-16,-27.3905,9972.6095,9979.5043,-6.8948,-0.0007
AAPL-0035,AAPL,long,2014-07-16T00:00:00,2014-07-23T00:00:00,94.7800,97.1900,10.5508,0.5000,25.4273,24.9273,0.0025,2014-07-23,-2.4632,9997.5368,9997.5368,0.0000,0.0000
AAPL-0040,AAPL,long,2014-07-23T00:00:00,2014-07-30T00:00:00,97.1900,98.1500,10.2891,0.5000,9.8776,9.3776,0.0009,2014-07-30,6.9143,10006.9143,10006.9143,0.0000,0.0000
AAPL-0045,AAPL,long,2014-07-30T00:00:00,2014-08-06T00:00:00,98.1500,94.9600,10.1885,0.5000,-32.5013,-33.0013,-0.0033,2014-08-06,-26.0869,9973.9131,10006.9143,-33.0013,-0.0033
AAPL-0050,AAPL,long,2014-08-06T00:00:00,2014-08-13T00:00:00,94.9600,97.2400,10.5307,0.5000,24.0101,23.5101,0.0024,2014-08-13,-2.5768,9997.4232,10006.9143,-9.4912,-0.0009
AAPL-0055,AAPL,short,2014-08-13T00:00:00,2014-08-20T00:00:00,97.2400,100.5700,10.2838,0.5000,-34.2452,-34.7452,-0.0035,2014-08-20,-37.3220,9962.6780,10006.9143,-44.2363,-0.0044
AAPL-0060,AAPL,long,2014-08-20T00:00:00,2014-08-27T00:00:00,100.5700,102.1300,9.9433,0.5000,15.5116,15.0116,0.0015,2014-08-27,-22.3104,9977.6896,10006.9143,-29.2247,-0.0029
AAPL-0065,AAPL,long,2014-08-27T00:00:00,2014-09-04T00:00:00,102.1300,98.1200,9.7914,0.5000,-39.2637,-39.7637,-0.0040,2014-09-04,-62.0741,9937.9259,10006.9143,-68.9884,-0.0069
AAPL-0070,AAPL,long,2014-09-04T00:00:00,2014-09-11T00:00:00,98.1200,101.4300,10.1916,0.5000,33.7342,33.2342,0.0033,2014-09-11,-28.8399,9971.1601,10006.9143,-35.7542,-0.0036
AAPL-0075,AAPL,short,2014-09-11T00:00:00,2014-09-18T00:00:00,101.4300,101.7900,9.8590,0.5000,-3.5492,-4.0492,-0.0004,2014-09-18,-32.8891,9967.1109,10006.9143,-39.8035,-0.0040
AAPL-0080,AAPL,long,2014-09-18T00:00:00,2014-09-25T00:00:00,101.7900,97.8700,9.8241,0.5000,-38.5107,-39.0107,-0.0039,2014-09-25,-71.8998,9928.1002,10006.9143,-78.8141,-0.0079
AAPL-0085,AAPL,long,2014-09-25T00:00:00,2014-10-02T00:00:00,97.8700,99.9000,10.2176,0.5000,20.7418,20.2418,0.0020,2014-10-02,-51.6580,9948.3420,10006.9143,-58.5724,-0.0059
AAPL-0090,AAPL,short,2014-10-02T00:00:00,2014-10-09T00:00:00,99.9000,101.0200,10.0100,0.5000,-11.2112,-11.7112,-0.0012,2014-10-09,-63.3692,9936.6308,10006.9143,-70.2836,-0.0070
AAPL-0095,AAPL,short,2014-10-09T00:00:00,2014-10-16T00:00:00,101.0200,96.2600,9.8990,0.5000,47.1194,46.6194,0.0047,2014-10-16,-16.7498,9983.2502,10006.9143,-23.6642,-0.0024
AAPL-0100,AAPL,short,2014-10-16T00:00:00,2014-10-23T00:00:00,96.2600,104.8300,10.3885,0.5000,-89.0297,-89.5297,-0.0090,2014-10-23,-106.2795,9893.7205,10006.9143,-113.1939,-0.0113
AAPL-0105,AAPL,long,2014-10-23T00:00:00,2014-10-30T00:00:00,104.8300,106.9800,9.5392,0.5000,20.5094,20.0094,0.0020,2014-10-30,-86.2702,9913.7298,10006.9143,-93.1845,-0.0093
AAPL-0110,AAPL,long,2014-10-30T00:00:00,2014-11-06T00:00:00,106.9800,108.7000,9.3475,0.5000,16.0778,15.5778,0.0016,2014-11-06,-70.6924,9929.3076,10006.9143,-77.6067,-0.0078
AAPL-0115,AAPL,long,2014-11-06T00:00:00,2014-11-13T00:00:00,108.7000,112.8200,9.1996,0.5000,37.9025,37.4025,0.0037,2014-11-13,-33.2899,9966.7101,10006.9143,-40.2043,-0.0040
AAPL-0120,AAPL,long,2014-11-13T00:00:00,2014-11-20T00:00:00,112.8200,116.3100,8.8637,0.5000,30.9342,30.4342,0.0030,2014-11-20,-2.8557,9997.1443,10006.9143,-9.7700,-0.0010
AAPL-0125,AAPL,long,2014-11-20T00:00:00,2014-11-28T00:00:00,116.3100,118.9300,8.5977,0.5000,22.5260,22.0260,0.0022,2014-11-28,19.1703,10019.1703,10019.1703,0.0000,0.0000
AAPL-0130,AAPL,long,2014-11-28T00:00:00,2014-12-05T00:00:00,118.9300,115.0000,8.4083,0.5000,-33.0447,-33.5447,-0.0034,2014-12-05,-14.3743,9985.6257,10019.1703,-33.5447,-0.0033
AAPL-0135,AAPL,long,2014-12-05T00:00:00,2014-12-12T00:00:00,115.0000,109.7300,8.6957,0.5000,-45.8261,-46.3261,-0.0046,2014-12-12,-60.7004,9939.2996,10019.1703,-79.8707,-0.0080
AAPL-0140,AAPL,short,2014-12-12T00:00:00,2014-12-19T00:00:00,109.7300,111.7800,9.1133,0.5000,-18.6822,-19.1822,-0.0019,2014-12-19,-79.8826,9920.1174,10019.1703,-99.0530,-0.0099
AAPL-0145,AAPL,short,2014-12-19T00:00:00,2014-12-29T00:00:00,111.7800,113.9100,8.9461,0.5000,-19.0553,-19.5553,-0.0020,2014-12-29,-99.4379,9900.5621,10019.1703,-118.6082,-0.0118
AAPL-0150,AAPL,short,2014-12-29T00:00:00,2015-01-06T00:00:00,113.9100,106.2600,8.7789,0.5000,67.1583,66.6583,0.0067,2015-01-06,-32.7796,9967.2204,10019.1703,-51.9500,-0.0052
AAPL-0155,AAPL,short,2015-01-06T00:00:00,2015-01-13T00:00:00,106.2600,110.2200,9.4109,0.5000,-37.2671,-37.7671,-0.0038,2015-01-13,-70.5467,9929.4533,10019.1703,-89.7170,-0.0090
AAPL-0160,AAPL,short,2015-01-13T00:00:00,2015-01-21T00:00:00,110.2200,109.5500,9.0728,0.5000,6.0787,5.5787,0.0006,2015-01-21,-64.9680,9935.0320,10019.1703,-84.1383,-0.0084
AAPL-0165,AAPL,short,2015-01-21T00:00:00,2015-01-28T00:00:00,109.5500,115.3100,9.1282,0.5000,-52.5787,-53.0787,-0.0053,2015-01-28,-118.0467,9881.9533,10019.1703,-137.2170,-0.0137
AAPL-0170,AAPL,long,2015-01-28T00:00:00,2015-02-04T00:00:00,115.3100,119.5600,8.6723,0.5000,36.8572,36.3572,0.0036,2015-02-04,-81.6895,9918.3105,10019.1703,-100.8598,-0.0101
AAPL-0175,AAPL,long,2015-02-04T00:00:00,2015-02-11T00:00:00,119.5600,124.8800,8.3640,0.5000,44.4965,43.9965,0.0044,2015-02-11,-37.6930,9962.3070,10019.1703,-56.8633,-0.0057
AAPL-0180,AAPL,long,2015-02-11T00:00:00,2015-02-19T00:00:00,124.8800,128.4500,8.0077,0.5000,28.5875,28.0875,0.0028,2015-02-19,-9.6056,9990.3944,10019.1703,-28.7759,-0.0029
AAPL-0185,AAPL,long,2015-02-19T00:00:00,2015-02-26T00:00:00,128.4500,130.4200,7.7851,0.5000,15.3367,14.8367,0.0015,2015-02-26,5.2311,10005.2311,10019.1703,-13.9392,-0.0014
AAPL-0190,AAPL,long,2015-02-26T00:00:00,2015-03-05T00:00:00,130.4200,126.4100,7.6675,0.5000,-30.7468,-31.2468,-0.0031,2015-03-05,-26.0157,9973.9843,10019.1703,-45.1860,-0.0045
AAPL-0195,AAPL,long,2015-03-05T00:00:00,2015-03-12T00:00:00,126.4100,124.4500,7.9108,0.5000,-15.5051,-16.0051,-0.0016,2015-03-12,-42.0208,9957.9792,10019.1703,-61.1911,-0.0061
AAPL-0200,AAPL,short,2015-03-12T00:00:00,2015-03-19T00:00:00,124.4500,127.5000,8.0354,0.5000,-24.5078,-25.0078,-0.0025,2015-03-19,-67.0286,9932.9714,10019.1703,-86.1990,-0.0086
AAPL-0205,AAPL,short,2015-03-19T00:00:00,2015-03-26T00:00:00,127.5000,124.2400,7.8431,0.5000,25.5686,25.0686,0.0025,2015-03-26,-41.9600,9958.0400,10019.1703,-61.1303,-0.0061
AAPL-0210,AAPL,short,2015-03-26T00:00:00,2015-04-02T00:00:00,124.2400,125.3200,8.0489,0.5000,-8.6929,-9.1929,-0.0009,2015-04-02,-51.1529,9948.8471,10019.1703,-70.3232,-0.0070
AAPL-0215,AAPL,short,2015-04-02T00:00:00,2015-04-10T00:00:00,125.3200,127.1000,7.9796,0.5000,-14.2036,-14.7036,-0.0015,2015-04-10,-65.8565,9934.1435,10019.1703,-85.0268,-0.0085
AAPL-0220,AAPL,long,2015-04-10T00:00:00,2015-04-17T00:00:00,127.1000,124.7500,7.8678,0.5000,-18.4894,-18.9894,-0.0019,2015-04-17,-84.8459,9915.1541,10019.1703,-104.0162,-0.0104
AAPL-0225,AAPL,long,2015-04-17T00:00:00,2015-04-24T00:00:00,124.7500,130.2800,8.0160,0.5000,44.3286,43.8286,0.0044,2015-04-24,-41.0172,9958.9828,10019.1703,-60.1876,-0.0060
